CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.001 0 0.1028881073 0.119499655331 0.166091918945 0.10719704628 0.112588882446 0.146062850952 0.166091918945 1.0
2 001.001 0 0.0979070663452 0.11725901913 0.264011144638 0.100985050201 0.104936122894 0.14417386055 0.174897909164 1.0
3 001.001 0 0.102159023285 0.112479157367 0.141654968262 0.103157997131 0.107120037079 0.133278131485 0.138734817505 1.0
4 001.001 0 0.116957187653 0.135220570998 0.306993961334 0.119535923004 0.125576972961 0.154563903809 0.160010099411 1.0
5 001.001 0 0.132342100143 0.158174698693 0.360147953033 0.137032032013 0.145999908447 0.195240020752 0.197358846664 1.0
6 001.001 0 0.13929605484 0.173396561204 0.401877164841 0.149887084961 0.163738965988 0.193401813507 0.20183300972 1.0
8 001.001 0 0.164808988571 0.191560032788 0.60951590538 0.168554067612 0.181787967682 0.213182210922 0.220077037811 1.0
10 001.001 0 0.17370891571 0.240485091363 0.887435913086 0.189070940018 0.216330051422 0.289745807648 0.305319070816 1.0
16 001.001 0 0.301908016205 0.368923755174 0.506752967834 0.324766874313 0.357178926468 0.453831911087 0.46296787262 1.0
