CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 8.0 0 0.1028881073 0.119810350239 0.166091918945 0.107471942902 0.118566036224 0.127011060715 0.146062850952 1.0 1.0 0 0 0 0
2 17.25 0 0.0979070663452 0.119468422904 0.264011144638 0.101707935333 0.111263990402 0.139750003815 0.174897909164 1.0 1.0 0 0 0 0
3 26.5 0 0.102159023285 0.114141878092 0.141654968262 0.104134082794 0.113382101059 0.128548145294 0.134525060654 1.0 1.0 0 0 0 0
4 29.25 0 0.116957187653 0.137053856483 0.332664012909 0.121807098389 0.131217956543 0.149574995041 0.15749001503 1.0 1.0 0 0 0 0
5 31.25 0 0.132342100143 0.157858148575 0.360147953033 0.139098167419 0.149925947189 0.186463117599 0.19678401947 1.0 1.0 0 0 0 0
6 34.75 0 0.13929605484 0.172205161705 0.401877164841 0.151532888412 0.167178153992 0.190909862518 0.200845956802 1.0 1.0 0 0 0 0
8 38.75 0 0.164808988571 0.20542250141 0.60951590538 0.170437812805 0.191701889038 0.228367090225 0.239445924759 1.0 1.0 0 0 0 0
10 40.25 0 0.17370891571 0.244048453266 0.887435913086 0.194769859314 0.232125997543 0.282865047455 0.295216083527 1.0 1.0 0 0 0 0
16 41.0 0 0.301908016205 0.389935824929 1.43110084534 0.33211684227 0.383556842804 0.437014818192 0.456202983856 1.0 1.0 0 0 0 0
