CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.002 0 0.110389947891 0.120162471135 0.127011060715 0.114748954773 0.119854927063 0.126435041428 0.127011060715 1.0
2 001.002 0 0.107701063156 0.122023046017 0.262148141861 0.108962059021 0.116492033005 0.124670028687 0.178384780884 1.0
3 001.002 0 0.111162900925 0.116229123258 0.135773897171 0.112551927567 0.115024089813 0.120932102203 0.126111984253 1.0
4 001.002 0 0.127376079559 0.139426343581 0.332664012909 0.130709171295 0.134934902191 0.141311168671 0.141879081726 1.0
5 001.002 0 0.142023086548 0.157455266606 0.214827060699 0.146383047104 0.153568029404 0.180785894394 0.188076019287 1.0
6 001.002 0 0.155428171158 0.170491218567 0.198749065399 0.160775899887 0.168406009674 0.187543153763 0.194550991058 1.0
8 001.002 0 0.179173946381 0.222255499022 0.593098163605 0.187222003937 0.198756933212 0.239445924759 0.514258861542 1.0
10 001.002 0 0.202589988708 0.248921874691 0.877275943756 0.219962120056 0.239284038544 0.264039993286 0.271869182587 1.0
16 001.002 0 0.363528013229 0.414870147705 1.43110084534 0.378036975861 0.399861097336 0.429373025894 0.443266153336 1.0
