CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
10 37.25 0 0.161853075027 0.259583719625 2.03379893303 0.178102016449 0.209306955338 0.262060880661 0.293495893478 0.986577181208 0.986577181208 0 0 0 0
20 41.25 0 0.363766908646 0.474963185281 3.40855503082 0.405830144882 0.452217102051 0.521006822586 0.539067029953 0.99696969697 0.99696969697 0 0 0 0
40 39.25 0 0.756443023682 1.00208700083 5.75050783157 0.857136011124 0.942937850952 1.06870508194 1.1121301651 0.993630573248 0.993630573248 0 0 0 0
80 39.25 0 1.61901092529 2.02514395896 10.186383009 1.70055913925 1.88546800613 2.08414697647 2.12172603607 0.490445859873 0 0 0 0 0.490445859873
100 38.0 0 2.01383590698 2.71331931886 11.3993430138 2.19207620621 2.45117688179 2.89160585403 3.04843902588 0.486842105263 0 0 0 0 0.486842105263
120 39.0 0 2.4049539566 3.06412081382 14.279104948 2.60746598244 2.90397596359 3.27461004257 3.45225000381 0.49358974359 0 0 0 0 0.49358974359
160 38.5 0 3.33001303673 4.15704370319 17.9916501045 3.61492919922 4.06937003136 4.56010699272 4.66459298134 0.496753246753 0 0 0 0 0.496753246753
